corp_code,corp_name,corp_name_norm,stock_code,source
00368153,서전어패럴,서전어패럴,,DART:corpCode
00455149,웰비스트랜스,웰비스트랜스,,DART:corpCode
00249946,한국키엔스,한국키엔스,,DART:corpCode
00110839,대신생명보험,대신생명보험,,DART:corpCode
00293798,대성메디테크,대성메디테크,,DART:corpCode
00113119,대한알루미늄공업,대한알루미늄공업,,DART:corpCode
00424389,남성엠케이,남성엠케이,,DART:corpCode
00424486,씨엠액텍,씨엠액텍,,DART:corpCode
00224734,한국부동산신탁,한국부동산신탁,,DART:corpCode
00197713,주은산업,주은산업,,DART:corpCode
00421948,신엘지프라이머리제이차유동화전문유한회사,신LG프라이머리제이차유동화전문유한회사,,DART:corpCode
00422381,데코제일차유동화전문유한회사,데코제일차유동화전문유한회사,,DART:corpCode
00350446,뉴스테이트삼차모기지유동화전문유한회사,뉴스테이트삼차모기지유동화전문유한회사,,DART:corpCode
00396642,엘지수퍼센터,LG수퍼센터,,DART:corpCode
00425449,아이클릭세븐,아이클릭세븐,,DART:corpCode
00425458,월드인코레스,월드인코레스,,DART:corpCode
00425333,코리아픽시컴,코리아픽시컴,,DART:corpCode
00424617,산은부동산제사차유동화전문유한회사,산은부동산제사차유동화전문유한회사,,DART:corpCode
00424006,글로벌자이언트시스템,글로벌자이언트시스템,,DART:corpCode
00424051,신클레어,신클레어,,DART:corpCode
00403599,에이에스피기업구조조정전문,에이에스피기업구조조정전문,,DART:corpCode
00425519,Marubeni-ItochuSteelInc.,MARUBENI-ITOCHUSTEELINC.,,DART:corpCode
00224585,신한,신한,,DART:corpCode
00429524,우리모아제이차유동화전문유한회사,우리모아제이차유동화전문유한회사,,DART:corpCode
00429533,글로벌사모안정혼합형펀드,글로벌사모안정혼합형펀드,,DART:corpCode
00432722,파워외환카드제팔차유동화전문유한회사,파워외환카드제팔차유동화전문유한회사,,DART:corpCode
00432786,파워외환카드제오차유동화전문유한회사,파워외환카드제오차유동화전문유한회사,,DART:corpCode
00429728,영퓨처,영퓨처,,DART:corpCode
00428668,코로볼틴펀드리미티드,코로볼틴펀드리미티드,,DART:corpCode
00430751,대창크랑크,대창크랑크,,DART:corpCode
00385372,허츠제일차유동화전문유한회사,허츠제일차유동화전문유한회사,,DART:corpCode
00431680,새암교육,새암교육,,DART:corpCode
00386308,반지종합상가,반지종합상가,,DART:corpCode
00256450,동서산업건설(가칭),동서산업건설(가칭),,DART:corpCode
00290816,대우종합기계(가칭),대우종합기계(가칭),,DART:corpCode
00291532,대우조선공업(가칭),대우조선공업(가칭),,DART:corpCode
00127990,삼일상호저축은행,삼일상호저축은행,,DART:corpCode
00431565,케이디에스에스,케이디에스에스,,DART:corpCode
00399959,비젼케이파트너스,비젼케이파트너스,,DART:corpCode
00430238,리버랜드,리버랜드,,DART:corpCode
00263034,동양선재,동양선재,,DART:corpCode
00205298,춘천미도파,춘천미도파,,DART:corpCode
00431042,거버너스M&A사모펀드3호,거버너스M&A사모펀드3호,,DART:corpCode
00348715,아이앤비골드문브이에이치,아이앤비골드문브이에이치,,DART:corpCode
00447964,체리미디어,체리미디어,,DART:corpCode
00448361,경원하이텍,경원하이텍,,DART:corpCode
00185851,중원화학,중원화학,,DART:corpCode
00445735,나크나인,나크나인,,DART:corpCode
00385770,동남해상관광호텔,동남해상관광호텔,,DART:corpCode
00319245,한성선박,한성선박,,DART:corpCode
00126502,삼성콘크리트공업,삼성콘크리트공업,,DART:corpCode
00363440,엠알더블유테크노로지,엠알더블유테크노로지,,DART:corpCode
00445522,제이에이치홀딩스,제이에이치홀딩스,,DART:corpCode
00320302,동연산업,동연산업,,DART:corpCode
00444958,우양주택건설,우양주택건설,,DART:corpCode
00441836,해진하우징,해진하우징,,DART:corpCode
00445629,효헌산업,효헌산업,,DART:corpCode
00454052,우림산업개발,우림산업개발,,DART:corpCode
00454414,에이스하이테크,에이스하이테크,,DART:corpCode
00196857,해표푸드서비스,해표푸드서비스,,DART:corpCode
00413383,에프씨산업,에프씨산업,,DART:corpCode
00225098,극동뉴메릭,극동뉴메릭,,DART:corpCode
00410304,서울드림랜드,서울드림랜드,,DART:corpCode
00310998,한국미라이공업,한국미라이공업,,DART:corpCode
00415114,21세기화장품,21세기화장품,,DART:corpCode
00451000,광명산업,광명산업,,DART:corpCode
00369985,다음솔루션,다음솔루션,,DART:corpCode
00371670,정우조명,정우조명,,DART:corpCode
00401430,모바일웰컴,모바일웰컴,,DART:corpCode
00247027,푸른건설,푸른건설,,DART:corpCode
00144058,월다크,월다크,,DART:corpCode
00416867,길도건업,길도건업,,DART:corpCode
00456263,원일스포지움,원일스포지움,,DART:corpCode
00436339,용인자원,용인자원,,DART:corpCode
00120748,마산강관,마산강관,,DART:corpCode
00386724,세창철강공업,세창철강공업,,DART:corpCode
00255390,재무와정보,재무와정보,,DART:corpCode
00455547,대양중공업,대양중공업,,DART:corpCode
00233398,이에이지씨,이에이지씨,,DART:corpCode
00405065,페타코페트로륨,페타코페트로륨,,DART:corpCode
00425537,MarubeniCorporation,MARUBENICORPORATION,,DART:corpCode
00424158,캐피탈라인,캐피탈라인,,DART:corpCode
00100920,건설증권,건설증권,,DART:corpCode
00370167,일진전자통신,일진전자통신,,DART:corpCode
00409131,오픈솔루션,오픈솔루션,,DART:corpCode
00424194,AMERICAORIENTALGROUP,AMERICAORIENTALGROUP,,DART:corpCode
00364713,mvp창업투자,MVP창업투자,,DART:corpCode
00408901,라이져,라이져,,DART:corpCode
00161170,한라시멘트,한라시멘트,,DART:corpCode
00423557,한국알리안츠화재해상보험,한국알리안츠화재해상보험,,DART:corpCode
00307444,코리아벌처투자,코리아벌처투자,,DART:corpCode
00370468,티에스케이지,티SK지,,DART:corpCode
00424219,텔레닉스,텔레닉스,,DART:corpCode
00424185,유니텍워터시스템즈,유니텍워터시스템즈,,DART:corpCode
00424556,거륜씨앤씨,거륜씨앤씨,,DART:corpCode
00121631,문화,문화,,DART:corpCode
00424866,모비도미,모비도미,,DART:corpCode
00424884,에이치케이인베스트먼트유동화전문유한회사,에이치케이인베스트먼트유동화전문유한회사,,DART:corpCode
00424927,LiquidmetalTechnologies,LIQUIDMETALTECHNOLOGIES,,DART:corpCode
00423797,모멘타(케이만),모멘타(케이만),,DART:corpCode
00433350,KTB프라임8호혼합형사모펀드,KTB프라임8호혼합형사모펀드,,DART:corpCode
00433369,유리명품장기채권형사모펀드3호,유리명품장기채권형사모펀드3호,,DART:corpCode
00433378,유리유니콘채권혼합형펀드,유리유니콘채권혼합형펀드,,DART:corpCode
00433387,맥쿼리아이엠엠프라임7호채권형사모펀드,맥쿼리아이엠엠프라임7호채권형사모펀드,,DART:corpCode
00433420,마이에셋애국성장형이호펀드,마이에셋애국성장형이호펀드,,DART:corpCode
00433457,채권플러스알파2호펀드,채권플러스알파2호펀드,,DART:corpCode
00433466,마이다스사모프라임안정형2호펀드,마이다스사모프라임안정형2호펀드,,DART:corpCode
00376073,테크포인트,테크포인트,,DART:corpCode
00234306,부국개발,부국개발,,DART:corpCode
00429418,세닥에듀케이션,세닥에듀케이션,,DART:corpCode
00429977,에이치엘홀딩스에스에이,에이치엘홀딩스에스에이,,DART:corpCode
00340786,크레디리요네증권,크레디리요네증권,,DART:corpCode
00218928,케이티인더스트리,KT인더스트리,,DART:corpCode
00106793,김천상호저축은행,김천상호저축은행,,DART:corpCode
00378886,이화홀딩스,이화홀딩스,,DART:corpCode
00433484,미래에셋유니온사모혼합형펀드2호,미래에셋유니온사모혼합형펀드2호,,DART:corpCode
00433493,맥쿼리아이엠엠액티브채권형사모펀드3호,맥쿼리아이엠엠액티브채권형사모펀드3호,,DART:corpCode
00433509,맥쿼리아이엠엠프라임6호혼합형사모펀드,맥쿼리아이엠엠프라임6호혼합형사모펀드,,DART:corpCode
00433518,유리명품장기채권형사모펀드2호,유리명품장기채권형사모펀드2호,,DART:corpCode
00406596,신우쉬핑,신우쉬핑,,DART:corpCode
00443001,동흥컨설팅,동흥컨설팅,,DART:corpCode
00363741,디조콤,디조콤,,DART:corpCode
00436375,맘모스산업개발,맘모스산업개발,,DART:corpCode
00222277,아성,아성,,DART:corpCode
00446284,디토정보기술,디토정보기술,,DART:corpCode
00446682,오우디앤씨,오우디앤씨,,DART:corpCode
00139995,에어웨이엑스프레스,에어웨이엑스프레스,,DART:corpCode
00444602,탑월드,탑월드,,DART:corpCode
00150314,진로종합유통,진로종합유통,,DART:corpCode
00231840,케이에프텍,케이에프텍,,DART:corpCode
00236243,나토상사,나토상사,,DART:corpCode
00309479,지오이네트,지오이네트,,DART:corpCode
00447034,이십일세기종합건설,이십일세기종합건설,,DART:corpCode
00447496,일현건설,일현건설,,DART:corpCode
00300928,삼영기공,삼영기공,,DART:corpCode
00317566,삼능주택,삼능주택,,DART:corpCode
00412001,동해,동해,,DART:corpCode
00155407,풍광직물,풍광직물,,DART:corpCode
00443542,기성텍스타일,기성텍스타일,,DART:corpCode
00179726,제텍스바론,제텍스바론,,DART:corpCode
00300982,국제개발,국제개발,,DART:corpCode
00298818,유유후마킬라,유유후마킬라,,DART:corpCode
00424644,피앤씨미디어,피앤씨미디어,,DART:corpCode
00350570,비앤에프투자자문,비앤에프투자자문,,DART:corpCode
00424316,한국부동산신탁제이차유동화전문유한회사,한국부동산신탁제이차유동화전문유한회사,,DART:corpCode
00368551,에이텍,에이텍,,DART:corpCode
00424307,덕경종합건설,덕경종합건설,,DART:corpCode
00425078,글로벌스페셜혼합형사모펀드,글로벌스페셜혼합형사모펀드,,DART:corpCode
00154499,태화,태화,,DART:corpCode
00424653,씨앤앰유동화전문유한회사,씨앤앰유동화전문유한회사,,DART:corpCode
00414522,온누리방송,온누리방송,,DART:corpCode
00425120,케이티엠,KT엠,,DART:corpCode
00356723,아이앤비골드문컨설팅,아이앤비골드문컨설팅,,DART:corpCode
00375506,동국제강제일차유동화전문유한회사,동국제강제일차유동화전문유한회사,,DART:corpCode
00424769,밸류노믹스기업구조조정전문회사,밸류노믹스기업구조조정전문회사,,DART:corpCode
00223300,조창,조창,,DART:corpCode
00360294,영지통상,영지통상,,DART:corpCode
00425209,RosewellConsulting&InvestmentLtd.,ROSEWELLCONSULTING&INVESTMENTLTD.,,DART:corpCode
00433527,유리시티즌장기채권형사모펀드,유리시티즌장기채권형사모펀드,,DART:corpCode
00433536,KTB장기채권형사모펀드3호,KTB장기채권형사모펀드3호,,DART:corpCode
00433545,KTB장기채권형사모펀드4호,KTB장기채권형사모펀드4호,,DART:corpCode
00433554,맥쿼리아이엠엠포세이돈채권형사모펀드4호,맥쿼리아이엠엠포세이돈채권형사모펀드4호,,DART:corpCode
00433563,마이에셋애국안정형1호펀드,마이에셋애국안정형1호펀드,,DART:corpCode
00434702,노보스,노보스,,DART:corpCode
00434711,세이유니온채권혼합형사모펀드,세이유니온채권혼합형사모펀드,,DART:corpCode
00434720,LG드림혼합형펀드,LG드림혼합형펀드,,DART:corpCode
00434739,알파그로스주식형펀드,알파그로스주식형펀드,,DART:corpCode
00434748,유리알파헷지채권혼합형사모펀드,유리알파헷지채권혼합형사모펀드,,DART:corpCode
00434757,알파헷지이기욱혼합형펀드,알파헷지이기욱혼합형펀드,,DART:corpCode
00434775,맥쿼리IMM홀인원채권형펀드,맥쿼리IMM홀인원채권형펀드,,DART:corpCode
00434793,유리시장중립채권형사모펀드,유리시장중립채권형사모펀드,,DART:corpCode
00434809,유리알파30채권혼합형사모펀드,유리알파30채권혼합형사모펀드,,DART:corpCode
00432573,파워외환카드제사차유동화전문유한회사,파워외환카드제사차유동화전문유한회사,,DART:corpCode
00432607,파워외환카드제이차유동화전문유한회사,파워외환카드제이차유동화전문유한회사,,DART:corpCode
00432643,케드제이차유동화전문유한회사,케드제이차유동화전문유한회사,,DART:corpCode
00323390,굿윌경영자문,굿윌경영자문,,DART:corpCode
00412861,국제금속산업,국제금속산업,,DART:corpCode
00443913,덕정무역,덕정무역,,DART:corpCode
00315179,삼성코닝마이크로옵틱스,삼성코닝마이크로옵틱스,,DART:corpCode
00165264,혜성건설,혜성건설,,DART:corpCode
00368171,코스모에쿼티파트너스,코스모에쿼티파트너스,,DART:corpCode
00369480,경빈,경빈,,DART:corpCode
00446196,내외시스템,내외시스템,,DART:corpCode
00108311,태승어패럴,태승어패럴,,DART:corpCode
00105615,금동조명,금동조명,,DART:corpCode
00360197,태광정밀공업,태광정밀공업,,DART:corpCode
